"year","district","births"
2016,"Anse Aux Pins","88"
2016,"Anse Boileau","74"
2016,"Anse Etoile","94"
2016,"Anse Royale","46"
2016,"Au Cap","68"
2016,"Baie Lazare","52"
2016,"Baie Sainte Anne","72"
2016,"Beau Vallon","68"
2016,"Bel Air","50"
2016,"Belombre","57"
2016,"Cascade","81"
2016,"English River","164"
2016,"Glacis","70"
2016,"Grand Anse Mahe","57"
2016,"Grand Anse Praslin","64"
2016,"Ile Perseverance",NA
2016,"La Digue and Inner Islands","41"
2016,"Les Mamelles","51"
2016,"Mont Buxton","71"
2016,"Mont Fleuri","52"
2016,"Other Islands","1"
2016,"Plaisance","60"
2016,"Pointe Larue","61"
2016,"Port Glaud","30"
2016,"Roche Caiman","61"
2016,"Saint Louis","63"
2016,"Takamaka","49"
2016,"Not Stated",NA
2018,"Anse Aux Pins","90"
2018,"Anse Boileau","64"
2018,"Anse Etoile","85"
2018,"Anse Royale","58"
2018,"Au Cap","60"
2018,"Baie Lazare","65"
2018,"Baie Sainte Anne","69"
2018,"Beau Vallon","86"
2018,"Bel Air","22"
2018,"Belombre","49"
2018,"Cascade","68"
2018,"English River","170"
2018,"Glacis","54"
2018,"Grand Anse Mahe","62"
2018,"Grand Anse Praslin","66"
2018,"Ile Perseverance",NA
2018,"La Digue and Inner Islands","45"
2018,"Les Mamelles","43"
2018,"Mont Buxton","74"
2018,"Mont Fleuri","65"
2018,"Other Islands",NA
2018,"Plaisance","72"
2018,"Pointe Larue","65"
2018,"Port Glaud","45"
2018,"Roche Caiman","54"
2018,"Saint Louis","69"
2018,"Takamaka","50"
2018,"Not Stated",NA
2017,"Anse Aux Pins","87"
2017,"Anse Boileau","65"
2017,"Anse Etoile","71"
2017,"Anse Royale","65"
2017,"Au Cap","58"
2017,"Baie Lazare","75"
2017,"Baie Sainte Anne","83"
2017,"Beau Vallon","81"
2017,"Bel Air","27"
2017,"Belombre","76"
2017,"Cascade","71"
2017,"English River","161"
2017,"Glacis","65"
2017,"Grand Anse Mahe","56"
2017,"Grand Anse Praslin","67"
2017,"Ile Perseverance",NA
2017,"La Digue and Inner Islands","53"
2017,"Les Mamelles","40"
2017,"Mont Buxton","71"
2017,"Mont Fleuri","54"
2017,"Other Islands",NA
2017,"Plaisance","72"
2017,"Pointe Larue","66"
2017,"Port Glaud","63"
2017,"Roche Caiman","43"
2017,"Saint Louis","52"
2017,"Takamaka","29"
2017,"Not Stated",NA
2019,"Anse Aux Pins","85"
2019,"Anse Boileau","72"
2019,"Anse Etoile","76"
2019,"Anse Royale","70"
2019,"Au Cap","63"
2019,"Baie Lazare","60"
2019,"Baie Sainte Anne","96"
2019,"Beau Vallon","90"
2019,"Bel Air","40"
2019,"Belombre","51"
2019,"Cascade","52"
2019,"English River","62"
2019,"Glacis","64"
2019,"Grand Anse Mahe","55"
2019,"Grand Anse Praslin","59"
2019,"Ile Perseverance","97"
2019,"La Digue and Inner Islands","35"
2019,"Les Mamelles","51"
2019,"Mont Buxton","55"
2019,"Mont Fleuri","42"
2019,"Other Islands",NA
2019,"Plaisance","79"
2019,"Pointe Larue","50"
2019,"Port Glaud","48"
2019,"Roche Caiman","48"
2019,"Saint Louis","58"
2019,"Takamaka","47"
2019,"Not Stated",NA
2020,"Anse Aux Pins","80"
2020,"Anse Boileau","80"
2020,"Anse Etoile","84"
2020,"Anse Royale","54"
2020,"Au Cap","60"
2020,"Baie Lazare","52"
2020,"Baie Sainte Anne","103"
2020,"Beau Vallon","66"
2020,"Bel Air","31"
2020,"Belombre","49"
2020,"Cascade","76"
2020,"English River","54"
2020,"Glacis","54"
2020,"Grand Anse Mahe","53"
2020,"Grand Anse Praslin","41"
2020,"Ile Perseverance","90"
2020,"La Digue and Inner Islands","49"
2020,"Les Mamelles","39"
2020,"Mont Buxton","46"
2020,"Mont Fleuri","57"
2020,"Other Islands",NA
2020,"Plaisance","64"
2020,"Pointe Larue","59"
2020,"Port Glaud","30"
2020,"Roche Caiman","47"
2020,"Saint Louis","89"
2020,"Takamaka","47"
2020,"Not Stated",NA
2021,"Anse Aux Pins","84"
2021,"Anse Boileau","79"
2021,"Anse Etoile","86"
2021,"Anse Royale","75"
2021,"Au Cap","73"
2021,"Baie Lazare","60"
2021,"Baie Sainte Anne","82"
2021,"Beau Vallon","88"
2021,"Bel Air","32"
2021,"Belombre","56"
2021,"Cascade","80"
2021,"English River","55"
2021,"Glacis","64"
2021,"Grand Anse Mahe","51"
2021,"Grand Anse Praslin","72"
2021,"Ile Perseverance","98"
2021,"La Digue and Inner Islands","44"
2021,"Les Mamelles","34"
2021,"Mont Buxton","50"
2021,"Mont Fleuri","47"
2021,"Other Islands",NA
2021,"Plaisance","85"
2021,"Pointe Larue","48"
2021,"Port Glaud","32"
2021,"Roche Caiman","45"
2021,"Saint Louis","80"
2021,"Takamaka","64"
2021,"Not Stated","1"
2023,"Anse Aux Pins","84"
2023,"Anse Boileau","73"
2023,"Anse Etoile","76"
2023,"Anse Royale","62"
2023,"Au Cap","54"
2023,"Baie Lazare","62"
2023,"Baie Sainte Anne","63"
2023,"Beau Vallon","67"
2023,"Bel Air","22"
2023,"Belombre","59"
2023,"Cascade","67"
2023,"English River","51"
2023,"Glacis","67"
2023,"Grand Anse Mahe","56"
2023,"Grand Anse Praslin","64"
2023,"Ile Perseverance","121"
2023,"La Digue and Inner Islands","42"
2023,"Les Mamelles","42"
2023,"Mont Buxton","54"
2023,"Mont Fleuri","54"
2023,"Other Islands",NA
2023,"Plaisance","40"
2023,"Pointe Larue","78"
2023,"Port Glaud","35"
2023,"Roche Caiman","56"
2023,"Saint Louis","63"
2023,"Takamaka","41"
2023,"Not Stated",NA
2024,"Anse Aux Pins","67"
2024,"Anse Boileau","62"
2024,"Anse Etoile","77"
2024,"Anse Royale","64"
2024,"Au Cap","71"
2024,"Baie Lazare","47"
2024,"Baie Sainte Anne","66"
2024,"Beau Vallon","61"
2024,"Bel Air","20"
2024,"Belombre","37"
2024,"Cascade","43"
2024,"English River","59"
